Ticker,Price,Earnings Yield,PEG,Debt/Equity,Revenue Growth (/10),FCF Yield
AAPL,226.825,2.7846453667286744,-10.687966715096076,1.872326602282704,0.20219940775141212,3.2323643895370706
MSFT,500.3,2.7382916987733137,2.350065025681764,0.17639506345366093,1.4932156232406721,1.9256403374268969
GOOG,240.025,7.681673554948835,0.3649519648130731,0.07832129541903016,1.3866243322901552,5.58290511748434
GOOGL,239.795,7.1774963948631925,0.390587706729825,0.07832129541903016,1.3866243322901552,5.216478032679691
AMZN,229.66,2.418976022447998,0.4363749797060356,0.45774032241144175,1.0990892246666146,1.342342250642136
META,752.2099,3.822218575041045,0.43973594994689563,0.2686202686202686,2.1941112807816046,3.3142239061837615
TSLA,350.12,0.6313676099928052,-3.0189815685252035,0.18683910962379824,0.09475783534663594,0.31710061870746636
NVDA,177.275,1.688555731686883,0.4087321270656423,0.1294641168832806,11.420340763599357,1.409902331782957
NFLX,1248.7389,1.6417782932405076,0.997076598004755,0.6297719322359626,1.5649919994477408,1.304474865428502
INTC,24.7654,-16.216375692042536,0.00509434950912777,0.5037876498438602,-0.20782621523935974,-13.536125924217208
PEP,142.69,4.9028933713826195,3.672110912926326,2.491436173161133,0.04187119414896524,3.679985429825606
CSCO,68.095,3.7816710860275062,-19.492516413350803,0.599726746792477,0.5298961024478188,4.936232356692878
ADBE,349.13,3.7541961413264704,10.953400028449948,0.4293512938674229,1.0799113813179453,5.315968744723616
AMD,159.535,0.6338359727794446,1.71200983321405,0.03842412451361868,1.369047619047619,0.9289308437139331
QCOM,158.74,5.921282204891103,0.4197103400416802,0.5569764786480932,0.8771635957565606,6.516212846459239
AVGO,367.86,0.340708412702579,-5.04843410970448,0.998345104760779,4.398503587481504,1.1220548132668142
TXN,184.15,2.866485057827774,-1.3273372936672543,0.804354256640833,-1.0719789942348308,0.8947686219266525
AMAT,163.49,5.510468978896625,3.8759415094266614,0.34766591232040417,0.2485198174755817,5.748485613069393
SBUX,82.9699,3.987726341133889,-2.844605767934821,-3.464014820980279,0.05576001512136003,3.51822031229662
MDLZ,62.075,5.740647962758181,-2.4822981817462577,0.6821624832912521,0.11800310972900933,4.386099061547836
INTU,656.21,2.1147320136727985,1.5464935532746809,0.33683409436834094,1.5634019035922626,3.3248681414245627
PYPL,65.505,6.626502334855642,-6.472326835726256,0.4838614879757065,0.6805280306338384,10.813007306478932
CSX,32.035,5.810233567205123,-3.1883834463755725,1.5188769796832506,-0.07982533942825952,4.551070557828106
CHTR,262.675,14.167044523065735,0.6115247315524442,6.143773657535125,0.0875345651656381,8.810156942240958
REGN,555.03,7.631948632084075,1.1286118448258222,0.09213179984737818,0.8270057634251213,6.120813809110802
KDP,27.385,3.8735645262451546,-0.7608747130267284,0.7125355772800396,0.3624949372215472,4.2929094714875164
VRTX,388.31,-0.5379714193516436,1.6192333632645364,0.10661442082683308,1.1661532849673732,-0.9823301869415749
GILD,115.27,0.3355982325385848,-3.25560336402052,1.3818416968442835,0.6040713969612037,7.204874554812742
ADP,291.82,3.45153304555349,3.3172205914246624,1.4649967679379443,0.7073521293991438,3.7163392428861957
MELI,2340.95,1.610211270223365,0.6633799166202842,1.5743507239715009,3.7532269808697953,5.947080662080854
LRCX,107.67,3.932079289425535,0.6360716916043325,0.45474328302482586,2.3684089764599188,3.973072381192181
PANW,196.83,0.8612362229614774,-2.0730810365571593,0.043223761566382086,1.487387106820305,2.6354329715422296
MAR,262.535,3.3325278284089133,-1.306671691347984,-5.093917112299465,0.5849112301269346,2.8049360543113337
BKNG,5487.54,3.3072698383000523,0.8140866637175755,-4.249004975124378,1.1111631172478353,4.4385562909793626
FTNT,79.44,2.866991609834014,0.6701539475400763,0.6656178872673718,1.2271904690091993,3.087125047673664
ADSK,323.745,1.6125831370354151,2.7273373703464405,0.9763449065242273,1.1533563762052028,2.1824978608258094
MCHP,64.985,-0.0014256750759673814,701.2382273578694,0.8004888179365102,-4.2345174473436025,2.201527452308831
WDAY,226.8,1.0687668137744941,-1.511278847308385,0.37214965685189283,1.635211461633834,4.447776721202221
IDXX,635.65,1.7458798011680297,11.302293541609318,0.6186547718222066,0.646145962540355,1.5693228893926454
MNST,62.735,2.4635019637297084,-5.429397795285675,0.0627674891627969,0.49395051307228954,2.6480563056072413
ROST,149.59,4.2732011777455305,2.0289014954174394,1.0314445213865184,0.3691810267301653,3.345594427129671
ORLY,104.97,2.679653704677753,21.838526623100027,-5.777589588617036,0.5667940995114548,2.2749111151169457
KHC,26.655,8.697620687252767,-2.9572134317626664,0.4039646233607807,-0.298048048048048,9.57245425492105
TEAM,173.855,-0.8878991393616211,7.721772683824583,0.9209878616642911,1.9655403348274665,4.896466947797775
CRWD,425.49,-0.01804758213637746,45.576596928468526,0.24055570767929443,2.9391354434791714,1.0001100746681701
CTAS,200.99,2.2375346387919315,2.918191577197522,0.566654235549253,0.7748211218226426,2.1693078217918953
CDNS,338.39,1.1446786705391319,63.427567900975006,0.5531256780137188,1.3478725844049344,1.2124874046132241
PDD,124.29,63.72093647503203,0.017974791801762226,0.03385475802794651,5.903624670415171,68.55387778654635
ODFL,146.46,3.853237679327156,-6.020663954874085,0.014132584835088823,-0.08752245083318674,2.8847635819411943
KLAC,935.015,3.2918313136328954,0.6455218174664099,1.297462542512413,2.3887647752854164,3.032522916276079
MRVL,67.245,-1.526601355989405,12.632717697570284,0.3234601921501452,0.4713401238266427,2.3970228748959066
ANSS,374.3,1.7494517645094458,3.799672209724324,0.13819967008629017,1.2108642088434585,2.284301578140617
